# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.250464753670e-10       6.362410798876e-15       4.038477787380e-13       0.000000000000e+00       8.295773995750e-09       4.329066213154e-10      -2.183817764906e-12 
    3       1.198963473825e-10       1.000068520061e-14       4.988215819948e-13       0.000000000000e+00       5.101566799341e-09       3.095399210185e-10      -1.863186375541e-12 
    4       1.141143650147e-10       1.072527318639e-14       5.049309971709e-13       0.000000000000e+00       3.549819277832e-09       2.364154123598e-10      -1.420090077209e-12 
    5       1.095268242180e-10       8.994663457219e-15       4.616768616143e-13       0.000000000000e+00       2.652052962294e-09       1.880976567253e-10      -9.866359108859e-13 
    6       1.062621680216e-10       6.222036142990e-15       3.957062712143e-13       0.000000000000e+00       2.073193901984e-09       1.538993547625e-10      -6.092315594501e-13 
    7       1.041146609864e-10       3.703341945857e-15       3.249017112629e-13       0.000000000000e+00       1.673556971469e-09       1.285549023978e-10      -3.091253868655e-13 
    8       1.029384515366e-10       2.063445797181e-15       2.596585159471e-13       0.000000000000e+00       1.383640993413e-09       1.091821914292e-10      -9.253324624785e-14 
    9       1.024266300305e-10       1.284537878484e-15       2.058457519841e-13       0.000000000000e+00       1.165447333648e-09       9.403741226524e-11       4.457029731506e-14 
   10       1.024842550648e-10       1.024830950468e-15       1.661034223828e-13       0.000000000000e+00       9.965961725740e-10       8.195361701061e-11       1.134425537784e-13 
   11       1.029542925064e-10       9.407395853653e-16       1.405110572154e-13       0.000000000000e+00       8.550405387228e-10       7.285811473093e-11       1.295186908302e-13 
   12       1.037379652759e-10       8.510268305369e-16       1.274461458662e-13       0.000000000000e+00       7.484022208203e-10       6.445224080801e-11       1.102713413362e-13 
   13       1.047739089608e-10       7.334614106298e-16       1.242793721696e-13       0.000000000000e+00       6.606982943858e-10       5.765225380589e-11       7.220219003811e-14 
   14       1.060296099488e-10       6.365354305553e-16       1.279445769502e-13       0.000000000000e+00       5.876136924867e-10       5.194250432298e-11       2.848724169346e-14 
   15       1.074346572550e-10       5.974689122751e-16       1.355022605131e-13       0.000000000000e+00       5.260008036451e-10       4.697616443464e-11      -1.096025438756e-14 
   16       1.089579382799e-10       6.121841298064e-16       1.445813170137e-13       0.000000000000e+00       4.735371419576e-10       4.269498458427e-11      -3.983544235848e-14 
   17       1.105822692148e-10       6.510356132873e-16       1.535636037953e-13       0.000000000000e+00       4.284692752507e-10       3.897353011063e-11      -5.576315047792e-14 
   18       1.122956825052e-10       6.885923477885e-16       1.616365380329e-13       0.000000000000e+00       3.894499676362e-10       3.574621672581e-11      -5.934838884680e-14 
   19       1.141569423258e-10       7.207184553223e-16       1.684794551913e-13       0.000000000000e+00       3.554294340946e-10       3.292030216595e-11      -5.325500462282e-14 
   20       1.160113701075e-10       7.615767196148e-16       1.742974870280e-13       0.000000000000e+00       3.255796757149e-10       3.038483552991e-11      -4.120810300887e-14 
   21       1.179482916819e-10       8.293433141029e-16       1.796491769063e-13       0.000000000000e+00       2.992394327533e-10       2.807727185192e-11      -2.708262675314e-14 
   22       1.199414959621e-10       9.342581160112e-16       1.850261440565e-13       0.000000000000e+00       2.758754029156e-10       2.599929523233e-11      -1.418651741403e-14 
   23       1.219821665133e-10       1.075980070670e-15       1.909000956073e-13       0.000000000000e+00       2.550528087213e-10       2.416139246856e-11      -4.798191672190e-15 
   24       1.240730448967e-10       1.248327475765e-15       1.975082521501e-13       0.000000000000e+00       2.364146476739e-10       2.253581196965e-11       2.143869619723e-17 
   25       1.261683927224e-10       1.445842836939e-15       2.048955112473e-13       0.000000000000e+00       2.196648358318e-10       2.107394987583e-11       3.610974130584e-16 
   26       1.283387840898e-10       1.666704745992e-15       2.128500926449e-13       0.000000000000e+00       2.045563646421e-10       1.974548673950e-11      -2.803990638547e-15 
   27       1.305240324443e-10       1.911354635438e-15       2.209028337852e-13       0.000000000000e+00       1.908814131357e-10       1.854649200091e-11      -7.981476735384e-15 
   28       1.327482470068e-10       2.179927327261e-15       2.285757428228e-13       0.000000000000e+00       1.784649282035e-10       1.742199226996e-11      -1.385046279101e-14 
   29       1.349939792833e-10       2.470686020377e-15       2.354370502925e-13       0.000000000000e+00       1.671584688818e-10       1.638661421948e-11      -1.892376574619e-14 
   30       1.372838754774e-10       2.780970416207e-15       2.410902566992e-13       0.000000000000e+00       1.568341544156e-10       1.545255725944e-11      -2.208379832896e-14 
   31       1.396043853028e-10       3.109705634716e-15       2.452135294769e-13       0.000000000000e+00       1.473818545507e-10       1.461092363360e-11      -2.287870341286e-14 
   32       1.419333092853e-10       3.458998703995e-15       2.476873869467e-13       0.000000000000e+00       1.387065544396e-10       1.385421696012e-11      -2.137815696637e-14 
   33       1.443295153052e-10       3.833212564998e-15       2.484798311146e-13       0.000000000000e+00       1.307266983806e-10       1.308385370025e-11      -1.875864543089e-14 
   34       1.466976491781e-10       4.236801648727e-15       2.477659408605e-13       0.000000000000e+00       1.233715067881e-10       1.238115720589e-11      -1.517944435059e-14 
   35       1.491180068478e-10       4.673294895928e-15       2.457297451176e-13       0.000000000000e+00       1.165775617290e-10       1.175005739590e-11      -1.138350225268e-14 
   36       1.515871355252e-10       5.144353408136e-15       2.424672150242e-13       0.000000000000e+00       1.102895433571e-10       1.117625792537e-11      -8.194538617886e-15 
   37       1.540201144168e-10       5.649739945630e-15       2.383118754628e-13       0.000000000000e+00       1.044601516487e-10       1.061692527321e-11      -6.491534060933e-15 
   38       1.565435043672e-10       6.188917814811e-15       2.332418175530e-13       0.000000000000e+00       9.904658922539e-11       1.012235418957e-11      -5.826159683670e-15 
   39       1.590466133425e-10       6.761794492287e-15       2.271063057847e-13       0.000000000000e+00       9.401024038619e-11       9.677373317486e-12      -5.993026881553e-15 
   40       1.615495976281e-10       7.369189665704e-15       2.199775731903e-13       0.000000000000e+00       8.931804107905e-11       9.200759142091e-12      -7.531072792063e-15 
   41       1.641784958453e-10       8.012187984676e-15       2.114758574196e-13       0.000000000000e+00       8.494052717100e-11       8.777019251060e-12      -9.186321055387e-15 
   42       1.667296343452e-10       8.690505465894e-15       2.014719780317e-13       0.000000000000e+00       8.085000161204e-11       8.416264968017e-12      -1.036859752260e-14 
   43       1.692897298011e-10       9.403798857055e-15       1.900375656616e-13       0.000000000000e+00       7.702281561317e-11       8.043445662568e-12      -1.164021620517e-14 
   44       1.719945367424e-10       1.015286460499e-14       1.766075628021e-13       0.000000000000e+00       7.343783067294e-11       7.709931975719e-12      -1.196826190229e-14 
   45       1.746138870321e-10       1.093827257685e-14       1.612260269972e-13       0.000000000000e+00       7.007477873442e-11       7.405523746067e-12      -1.122998821376e-14 
   46       1.772967206469e-10       1.176080494905e-14       1.441801531799e-13       0.000000000000e+00       6.691615808319e-11       7.094039547694e-12      -1.020234127929e-14 
   47       1.800189298798e-10       1.262165203584e-14       1.253725260758e-13       0.000000000000e+00       6.394829490448e-11       6.789850871364e-12      -9.013321956918e-15 
   48       1.826950204604e-10       1.352184387865e-14       1.046552245748e-13       0.000000000000e+00       6.115398237839e-11       6.516652636356e-12      -7.631172458371e-15 
   49       1.853997218096e-10       1.446113502568e-14       8.220254401502e-14       0.000000000000e+00       5.852189099805e-11       6.267319497950e-12      -6.326526858047e-15 
   50       1.882203540974e-10       1.543885920882e-14       5.826473265800e-14       0.000000000000e+00       5.603910140388e-11       6.027893434869e-12      -5.424623333930e-15 
   51       1.910706129341e-10       1.645451984668e-14       3.292944282253e-14       0.000000000000e+00       5.369612367507e-11       5.798638371437e-12      -5.005010931939e-15 
   52       1.938478861446e-10       1.750790783099e-14       6.199102144513e-15       0.000000000000e+00       5.148192374036e-11       5.583215808803e-12      -5.064116180759e-15 
   53       1.966339724548e-10       1.860018442884e-14      -2.211621613619e-14       0.000000000000e+00       4.938853695412e-11       5.382746296697e-12      -5.540448922402e-15 
   54       1.995321234967e-10       1.973264408804e-14      -5.220758645972e-14       0.000000000000e+00       4.740683897270e-11       5.196256007347e-12      -6.331583922893e-15 
   55       2.024812548761e-10       2.090519953647e-14      -8.397020288096e-14       0.000000000000e+00       4.553004818180e-11       5.017525718151e-12      -7.264703923683e-15 
   56       2.053953480009e-10       2.211736839057e-14      -1.172763968758e-13       0.000000000000e+00       4.375044272873e-11       4.840251405033e-12      -8.141985874874e-15 
   57       2.083097429893e-10       2.336888230394e-14      -1.523091456492e-13       0.000000000000e+00       4.206233011131e-11       4.666926789856e-12      -8.805116444273e-15 
   58       2.112815483080e-10       2.465946703567e-14      -1.892891577485e-13       0.000000000000e+00       4.045927904035e-11       4.502153538667e-12      -9.132668871985e-15 
   59       2.143017457186e-10       2.598874880235e-14      -2.281630253252e-13       0.000000000000e+00       3.893641771808e-11       4.348317146819e-12      -9.155424227726e-15 
   60       2.173458354165e-10       2.735634902500e-14      -2.688334794162e-13       0.000000000000e+00       3.748825530894e-11       4.206094535906e-12      -8.957093747436e-15 
   61       2.204098948262e-10       2.876217240626e-14      -3.113768092646e-13       0.000000000000e+00       3.611062648856e-11       4.071400376985e-12      -8.644047454673e-15 
   62       2.234963871105e-10       3.020596060976e-14      -3.558603354178e-13       0.000000000000e+00       3.479886548638e-11       3.939564326029e-12      -8.333190238704e-15 
   63       2.266128057184e-10       3.168648639668e-14      -4.020855289906e-13       0.000000000000e+00       3.354936858437e-11       3.810793038625e-12      -8.125790320780e-15 
   64       2.297658658249e-10       3.320248506669e-14      -4.498489929306e-13       0.000000000000e+00       3.235812464121e-11       3.686844472707e-12      -8.106753257348e-15 
   65       2.329525663599e-10       3.475405239567e-14      -4.993065275287e-13       0.000000000000e+00       3.122206807512e-11       3.570343344828e-12      -8.284531273518e-15 
   66       2.361681083975e-10       3.634146365119e-14      -5.506559050467e-13       0.000000000000e+00       3.013777005505e-11       3.463023155624e-12      -8.645640400079e-15 
   67       2.394142198415e-10       3.796406720333e-14      -6.037989797575e-13       0.000000000000e+00       2.910239074795e-11       3.361373349759e-12      -9.177126311928e-15 
   68       2.426933561370e-10       3.962104945615e-14      -6.585889987894e-13       0.000000000000e+00       2.811286465172e-11       3.261231539288e-12      -9.844042967846e-15 
   69       2.460041853646e-10       4.131215997386e-14      -7.150554964838e-13       0.000000000000e+00       2.716723052097e-11       3.163095620025e-12      -1.052387315351e-14 
   70       2.493437105381e-10       4.303730637728e-14      -7.732818469682e-13       0.000000000000e+00       2.626307205526e-11       3.068809365671e-12      -1.105782794805e-14 
   71       2.527094571261e-10       4.479610425548e-14      -8.333300356721e-13       0.000000000000e+00       2.539748516065e-11       2.979883219718e-12      -1.131862564555e-14 
   72       2.561040982378e-10       4.658689697942e-14      -8.951406192400e-13       0.000000000000e+00       2.456884591161e-11       2.895945441213e-12      -1.136985215644e-14 
   73       2.595316501100e-10       4.840754723779e-14      -9.586139547527e-13       0.000000000000e+00       2.377529910987e-11       2.815995759117e-12      -1.133659422065e-14 
   74       2.629951847053e-10       5.025590144285e-14      -1.023643530745e-12       0.000000000000e+00       2.301460115208e-11       2.739047061911e-12      -1.132791582306e-14 
   75       2.664939007895e-10       5.213037064190e-14      -1.090129241033e-12       0.000000000000e+00       2.228540675474e-11       2.664741919153e-12      -1.133709662408e-14 
   76       2.700254806161e-10       5.402944871473e-14      -1.157966021780e-12       0.000000000000e+00       2.158615863503e-11       2.592838922489e-12      -1.132360597393e-14 
   77       2.735875117076e-10       5.595147122269e-14      -1.227062971560e-12       0.000000000000e+00       2.091499746526e-11       2.523147278836e-12      -1.125515631432e-14 
   78       2.771793625157e-10       5.789439931235e-14      -1.297418035119e-12       0.000000000000e+00       2.027078247974e-11       2.455912657665e-12      -1.114819506573e-14 
   79       2.808005884940e-10       5.985599380057e-14      -1.369056413709e-12       0.000000000000e+00       1.965220609374e-11       2.391495754991e-12      -1.103447415672e-14 
   80       2.844512966304e-10       6.183422823234e-14      -1.442007768733e-12       0.000000000000e+00       1.905772993517e-11       2.330128011706e-12      -1.093901349644e-14 
   81       2.881351613124e-10       6.382841405202e-14      -1.516303678624e-12       0.000000000000e+00       1.848641757437e-11       2.271499231995e-12      -1.084782152131e-14 
   82       2.918568985002e-10       6.583826639111e-14      -1.591980169339e-12       0.000000000000e+00       1.793720938312e-11       2.215097010619e-12      -1.073473847523e-14 
   83       2.956197177688e-10       6.786349867659e-14      -1.669064606161e-12       0.000000000000e+00       1.740885408760e-11       2.160434296922e-12      -1.057591067216e-14 
   84       2.994200723684e-10       6.990359075427e-14      -1.747530722789e-12       0.000000000000e+00       1.690053436600e-11       2.107391647024e-12      -1.036545129472e-14 
   85       3.032520206292e-10       7.195798828206e-14      -1.827336419342e-12       0.000000000000e+00       1.641131785703e-11       2.055927257978e-12      -1.010227116197e-14 
   86       3.071106624231e-10       7.402587851058e-14      -1.908420380770e-12       0.000000000000e+00       1.594013019691e-11       2.006038183117e-12      -9.790665635220e-15 
   87       3.109981658559e-10       7.610524698061e-14      -1.990648393132e-12       0.000000000000e+00       1.548630558398e-11       1.957967258311e-12      -9.457138396263e-15 
   88       3.149186659219e-10       7.819367147706e-14      -2.073858241692e-12       0.000000000000e+00       1.504910335201e-11       1.912027904968e-12      -9.136326144873e-15 
   89       3.188752785241e-10       8.028850948715e-14      -2.157894025357e-12       0.000000000000e+00       1.462765505301e-11       1.868387469841e-12      -8.857453930892e-15 
   90       3.228663747991e-10       8.238659896318e-14      -2.242664802434e-12       0.000000000000e+00       1.422135277746e-11       1.826576447155e-12      -8.617089872167e-15 
   91       3.268887195586e-10       8.448450591021e-14      -2.328094646204e-12       0.000000000000e+00       1.382950466676e-11       1.785901866220e-12      -8.402261408518e-15 
   92       3.309395349372e-10       8.657911994758e-14      -2.414118505799e-12       0.000000000000e+00       1.345133997313e-11       1.745780470393e-12      -8.201594594021e-15 
   93       3.350195340613e-10       8.866926974763e-14      -2.500725334510e-12       0.000000000000e+00       1.308642100233e-11       1.706333077764e-12      -8.014676328369e-15 
   94       3.391303180369e-10       9.075434714578e-14      -2.587921516492e-12       0.000000000000e+00       1.273428011359e-11       1.667876647095e-12      -7.844048772515e-15 
   95       3.432734516039e-10       9.283382210191e-14      -2.675718029495e-12       0.000000000000e+00       1.239428750613e-11       1.630744619556e-12      -7.692376095508e-15 
   96       3.474499793704e-10       9.490692033582e-14      -2.764109828415e-12       0.000000000000e+00       1.206576329526e-11       1.595194704305e-12      -7.561336943250e-15 
   97       3.516589027960e-10       9.697159531321e-14      -2.853010181435e-12       0.000000000000e+00       1.174834476516e-11       1.561116215855e-12      -7.448112529839e-15 
