# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.250469889656e-10       6.362659479552e-15       4.038477743396e-13       2.486807425303e-19       8.295773995750e-09       4.329066213154e-10      -2.183817764906e-12 
    3       1.198973722016e-10       1.000118279581e-14       4.988215624008e-13       4.975958553232e-19       5.101566799341e-09       3.095399210185e-10      -1.863186375541e-12 
    4       1.141160678249e-10       1.072610302108e-14       5.049309408988e-13       8.298379311053e-19       3.549819277832e-09       2.364154123598e-10      -1.420090077209e-12 
    5       1.095293687928e-10       8.995909140002e-15       4.616767335020e-13       1.245693926779e-18       2.652052962294e-09       1.880976567253e-10      -9.866359108859e-13 
    6       1.062657145329e-10       6.223781613938e-15       3.957060194945e-13       1.745501502145e-18       2.073193901984e-09       1.538993547625e-10      -6.092315594501e-13 
    7       1.041193654887e-10       3.705671510653e-15       3.249012649362e-13       2.329636354762e-18       1.673556971469e-09       1.285549023978e-10      -3.091253868655e-13 
    8       1.029444655511e-10       2.066444146363e-15       2.596577824928e-13       2.998498303940e-18       1.383640993413e-09       1.091821914292e-10      -9.253324624785e-14 
    9       1.024341002355e-10       1.288290091336e-15       2.058446154359e-13       3.752496729296e-18       1.165447333648e-09       9.403741226524e-11       4.457029731506e-14 
   10       1.024933230966e-10       1.029422483813e-15       1.661017417827e-13       4.592035997725e-18       9.965961725740e-10       8.195361701061e-11       1.134425537784e-13 
   11       1.029650948709e-10       9.462562482504e-16       1.405086654499e-13       5.517501513481e-18       8.550405387228e-10       7.285811473093e-11       1.295186908302e-13 
   12       1.037506333659e-10       8.575547464419e-16       1.274428488744e-13       6.529246999235e-18       7.484022208203e-10       6.445224080801e-11       1.102713413362e-13 
   13       1.047885691726e-10       7.410869694068e-16       1.242749485068e-13       7.627583562546e-18       6.606982943858e-10       5.765225380589e-11       7.220219003811e-14 
   14       1.060463838872e-10       6.453452327510e-16       1.279387776778e-13       8.812771024329e-18       5.876136924867e-10       5.194250432298e-11       2.848724169346e-14 
   15       1.074536620141e-10       6.075497087913e-16       1.354948093804e-13       1.008501188695e-17       5.260008036451e-10       4.697616443464e-11      -1.096025438756e-14 
   16       1.089792867832e-10       6.236227599972e-16       1.445719108929e-13       1.144444820359e-17       4.735371419576e-10       4.269498458427e-11      -3.983544235848e-14 
   17       1.106060705994e-10       6.639189445648e-16       1.535519133251e-13       1.289116148265e-17       4.284692752507e-10       3.897353011063e-11      -5.576315047792e-14 
