# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 1.2095 h/Mpc,
# number of wavenumbers equal to 642
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028185630358e-05       3.641615523531e+01 
       2.292362615999e-05       8.121061453461e+01 
       3.560828768042e-05       1.262030685624e+02 
       4.836871170409e-05       1.715355985646e+02 
       6.123829348685e-05       2.173530693208e+02 
       7.425123956192e-05       2.638039058080e+02 
       8.744286345740e-05       3.110421329279e+02 
       1.008498940696e-04       3.592282018559e+02 
       1.145108005216e-04       4.085305005058e+02 
       1.284661373669e-04       4.591269969084e+02 
       1.427589140128e-04       5.112064473082e+02 
       1.574349921937e-04       5.649704691038e+02 
       1.725435151974e-04       6.206343183634e+02 
       1.881373722586e-04       6.784294620620e+02 
       2.042737010253e-04       7.386043852752e+02 
       2.210144301576e-04       8.014265641455e+02 
       2.384268628123e-04       8.671840090549e+02 
       2.565842998175e-04       9.361865708953e+02 
       2.755666985397e-04       1.008767441413e+03 
       2.954613595288e-04       1.085283618662e+03 
       3.163636276776e-04       1.166117582853e+03 
       3.383775875321e-04       1.251677389387e+03 
       3.616167231923e-04       1.342396867662e+03 
       3.862045017013e-04       1.438736014587e+03 
       4.122748248397e-04       1.541180449347e+03 
       4.399722780923e-04       1.650240551145e+03 
       4.694520880482e-04       1.766450937210e+03 
       5.008796823334e-04       1.890368098542e+03 
       5.344297321969e-04       2.022567526587e+03 
       5.702845513455e-04       2.163637968889e+03 
       6.086317311924e-04       2.314173466321e+03 
       6.496609189561e-04       2.474760902559e+03 
       6.935596973067e-04       2.645963958628e+03 
       7.405086063971e-04       2.828303008843e+03 
       7.906754596928e-04       3.022232362277e+03 
       8.442092343066e-04       3.228117031984e+03 
       9.012339448667e-04       3.446208733267e+03 
       9.618430090783e-04       3.676625255587e+03 
       1.026094652026e-03       3.919333863947e+03 
       1.094008850677e-03       4.174141793367e+03 
       1.165566183152e-03       4.440695228050e+03 
       1.240708736328e-03       4.718486262322e+03 
       1.319342979906e-03       5.006868986676e+03 
       1.401344286226e-03       5.305081478006e+03 
       1.486562609469e-03       5.612272747415e+03 
       1.574828762854e-03       5.927529558875e+03 
       1.665960750186e-03       6.249905484973e+03 
       1.759769698875e-03       6.578444568626e+03 
       1.856065073348e-03       6.912203803801e+03 
       1.954658988361e-03       7.250269804458e+03 
       2.055369566267e-03       7.591772535461e+03 
       2.158023376991e-03       7.935893971539e+03 
       2.262457060854e-03       8.281875192376e+03 
       2.368518265574e-03       8.629017361945e+03 
       2.476066037013e-03       8.976682314645e+03 
       2.584970795867e-03       9.324294320552e+03 
       2.695114016463e-03       9.671329540635e+03 
       2.806387704165e-03       1.001732271043e+04 
       2.918693747903e-03       1.036185917163e+04 
       3.031943206154e-03       1.070456701450e+04 
       3.146055569159e-03       1.104511850384e+04 
