# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494301154868e-10       7.288816292925e-15       4.813069971659e-13       0.000000000000e+00       8.899650915393e-09       4.878506545349e-10      -2.508514717918e-12 
    3       1.408198240773e-10       1.233740975752e-14       6.052796300625e-13       0.000000000000e+00       5.431374004403e-09       3.466556784040e-10      -2.206662565569e-12 
    4       1.323522352842e-10       1.440321307404e-14       6.260869492961e-13       0.000000000000e+00       3.759177533415e-09       2.634186267705e-10      -1.760161378801e-12 
    5       1.256468079132e-10       1.331969181789e-14       5.863165820071e-13       0.000000000000e+00       2.796936566715e-09       2.087947023124e-10      -1.306443583053e-12 
    6       1.207069962040e-10       1.027758571886e-14       5.159486585300e-13       0.000000000000e+00       2.179019431629e-09       1.703536298561e-10      -8.927258087465e-13 
    7       1.172358729485e-10       6.811822491198e-15       4.353424760528e-13       0.000000000000e+00       1.753900323423e-09       1.419996445260e-10      -5.430635541789e-13 
    8       1.149132552600e-10       4.025399020101e-15       3.567472613304e-13       0.000000000000e+00       1.446439817833e-09       1.203420901632e-10      -2.681960369967e-13 
    9       1.134950707819e-10       2.327261894685e-15       2.874047356631e-13       0.000000000000e+00       1.215618898674e-09       1.033480778053e-10      -6.976882822695e-14 
   10       1.127665601661e-10       1.566232196726e-15       2.313532885049e-13       0.000000000000e+00       1.037367408155e-09       8.975839610032e-11       5.751586824162e-14 
   11       1.125881071327e-10       1.341736981762e-15       1.902879271664e-13       0.000000000000e+00       8.886952080635e-10       7.949649555951e-11       1.232397419372e-13 
   12       1.128512905405e-10       1.284550363052e-15       1.638991964617e-13       0.000000000000e+00       7.765325951819e-10       7.027397112298e-11       1.420007168471e-13 
   13       1.134362291226e-10       1.197288952559e-15       1.504427051354e-13       0.000000000000e+00       6.844604505618e-10       6.273668631984e-11       1.275711371596e-13 
   14       1.142445960407e-10       1.051918391144e-15       1.473556913712e-13       0.000000000000e+00       6.078542928000e-10       5.620008389383e-11       9.267990016771e-14 
   15       1.152822775825e-10       9.081864368245e-16       1.516215106375e-13       0.000000000000e+00       5.433726132699e-10       5.073843351438e-11       4.955493299883e-14 
   16       1.165106098353e-10       8.273766500715e-16       1.602385809791e-13       0.000000000000e+00       4.885483371825e-10       4.610960264803e-11       7.280256459177e-15 
   17       1.178467239615e-10       8.268390045152e-16       1.707226319186e-13       0.000000000000e+00       4.415180461995e-10       4.211412700280e-11      -2.781561865512e-14 
   18       1.192860812014e-10       8.815709703804e-16       1.812706957521e-13       0.000000000000e+00       4.008525705998e-10       3.858670966692e-11      -5.223499145710e-14 
   19       1.208620866946e-10       9.521356860937e-16       1.906998806550e-13       0.000000000000e+00       3.654396204638e-10       3.543683472786e-11      -6.497758246728e-14 
   20       1.225070888863e-10       1.012519207440e-15       1.984805413779e-13       0.000000000000e+00       3.344040573930e-10       3.267140062582e-11      -6.688775266515e-14 
   21       1.242005326776e-10       1.061812727926e-15       2.046926783310e-13       0.000000000000e+00       3.070475907759e-10       3.022515039319e-11      -6.029340532733e-14 
   22       1.260072154058e-10       1.118327873848e-15       2.096533545414e-13       0.000000000000e+00       2.828077382703e-10       2.802472660030e-11      -4.824209613253e-14 
   23       1.278307534073e-10       1.204789167467e-15       2.138774304632e-13       0.000000000000e+00       2.612263762349e-10       2.601329272742e-11      -3.395380051975e-14 
   24       1.297270772054e-10       1.335628173308e-15       2.179200697681e-13       0.000000000000e+00       2.419279304063e-10       2.417103096411e-11      -2.032880533271e-14 
   25       1.316394076980e-10       1.512769060786e-15       2.222942034479e-13       0.000000000000e+00       2.246014311600e-10       2.253782701222e-11      -9.363923058284e-15 
   26       1.336103334738e-10       1.729562271265e-15       2.273444603113e-13       0.000000000000e+00       2.089874510384e-10       2.108815678750e-11      -2.266471147512e-15 
   27       1.356650929821e-10       1.977970538036e-15       2.330078057525e-13       0.000000000000e+00       1.948680691265e-10       1.977066368963e-11       6.404760162815e-16 
   28       1.376586579200e-10       2.253297761968e-15       2.393021992323e-13       0.000000000000e+00       1.820589950190e-10       1.855456776047e-11      -2.099164094846e-16 
   29       1.397639147673e-10       2.554935506728e-15       2.458895046485e-13       0.000000000000e+00       1.704036219932e-10       1.745120570854e-11      -3.838856002316e-15 
   30       1.418549297305e-10       2.884103683903e-15       2.522438027419e-13       0.000000000000e+00       1.597681318904e-10       1.644700594695e-11      -9.194470862548e-15 
   31       1.439676896331e-10       3.240936477540e-15       2.580531346513e-13       0.000000000000e+00       1.500392087254e-10       1.551890068851e-11      -1.513632893578e-14 
   32       1.461995503127e-10       3.623305141365e-15       2.626476517446e-13       0.000000000000e+00       1.411175815550e-10       1.468501890063e-11      -2.020724785256e-14 
   33       1.483369480950e-10       4.027620819934e-15       2.657630648554e-13       0.000000000000e+00       1.329170154753e-10       1.391658547084e-11      -2.354884084889e-14 
   34       1.505759556655e-10       4.451588298441e-15       2.671680435784e-13       0.000000000000e+00       1.253621797898e-10       1.319980392747e-11      -2.478941375499e-14 
   35       1.528476994659e-10       4.896497245378e-15       2.664553746768e-13       0.000000000000e+00       1.183890606621e-10       1.248392838309e-11      -2.448019979656e-14 
   36       1.550590665814e-10       5.366893022742e-15       2.639541771835e-13       0.000000000000e+00       1.119405480587e-10       1.185258895249e-11      -2.231621192526e-14 
   37       1.574109311333e-10       5.868276874403e-15       2.597613976666e-13       0.000000000000e+00       1.059656225988e-10       1.129407933977e-11      -1.877597870757e-14 
   38       1.597233029098e-10       6.404850272266e-15       2.539143265392e-13       0.000000000000e+00       1.004195469959e-10       1.074563598594e-11      -1.494506050046e-14 
   39       1.620469209330e-10       6.979230555790e-15       2.467608430835e-13       0.000000000000e+00       9.526425783012e-11       1.021548704508e-11      -1.143475791362e-14 
   40       1.644698304455e-10       7.592400546893e-15       2.382123359925e-13       0.000000000000e+00       9.046407931510e-11       9.748024958755e-12      -8.336711729935e-15 
   41       1.668150143635e-10       8.243782346530e-15       2.285042281869e-13       0.000000000000e+00       8.598732747238e-11       9.315719249922e-12      -6.257902012073e-15 
   42       1.692397975711e-10       8.932390259543e-15       2.179149258929e-13       0.000000000000e+00       8.180727070524e-11       8.886640483940e-12      -5.695324260228e-15 
   43       1.717394909853e-10       9.657310045420e-15       2.061050033475e-13       0.000000000000e+00       7.789864350361e-11       8.504464305137e-12      -5.880084223134e-15 
   44       1.741445120376e-10       1.041865985754e-14       1.930517711127e-13       0.000000000000e+00       7.423842638275e-11       8.141116960175e-12      -6.858748651751e-15 
   45       1.766273975814e-10       1.121774168940e-14       1.787125398726e-13       0.000000000000e+00       7.080756406938e-11       7.783632941864e-12      -8.632161699656e-15 
   46       1.791378532526e-10       1.205466402358e-14       1.627172705337e-13       0.000000000000e+00       6.758652678348e-11       7.467725758629e-12      -1.026991527289e-14 
   47       1.816713487034e-10       1.292894704672e-14       1.449598334500e-13       0.000000000000e+00       6.456120985601e-11       7.184044194578e-12      -1.146178550795e-14 
   48       1.842507651797e-10       1.384005446586e-14       1.254097754351e-13       0.000000000000e+00       6.171453416235e-11       6.908943206369e-12      -1.214234409357e-14 
   49       1.868431689684e-10       1.478794033435e-14       1.039293109793e-13       0.000000000000e+00       5.903464547447e-11       6.637410233238e-12      -1.228164848560e-14 
   50       1.894141782472e-10       1.577290849544e-14       8.037878988702e-14       0.000000000000e+00       5.650788605466e-11       6.371074136235e-12      -1.187055054463e-14 
   51       1.920113296786e-10       1.679634319203e-14       5.477742311801e-14       0.000000000000e+00       5.412441203497e-11       6.119204563442e-12      -1.093657115708e-14 
   52       1.946856014544e-10       1.785960851507e-14       2.722000956493e-14       0.000000000000e+00       5.187288579359e-11       5.890310597982e-12      -9.562908686088e-15 
   53       1.973864446800e-10       1.896231333901e-14      -2.101713676477e-15       0.000000000000e+00       4.974509226575e-11       5.677813116147e-12      -8.001527427860e-15 
   54       2.000552026056e-10       2.010364542886e-14      -3.300585870130e-14       0.000000000000e+00       4.773164260810e-11       5.472274531282e-12      -6.549090460615e-15 
   55       2.027467464900e-10       2.128349663879e-14      -6.554779248698e-14       0.000000000000e+00       4.582559941020e-11       5.274175853909e-12      -5.394057318962e-15 
   56       2.055246326651e-10       2.250173946863e-14      -9.979969442298e-14       0.000000000000e+00       4.401907277511e-11       5.086665749716e-12      -4.677837129700e-15 
   57       2.083334374521e-10       2.375743568484e-14      -1.355953362860e-13       0.000000000000e+00       4.230618163139e-11       4.912434914692e-12      -4.423841116665e-15 
   58       2.111065041009e-10       2.504962803874e-14      -1.727555980199e-13       0.000000000000e+00       4.068027819426e-11       4.752293889370e-12      -4.616856567977e-15 
   59       2.138964307955e-10       2.637863700750e-14      -2.113928176550e-13       0.000000000000e+00       3.913632965835e-11       4.599416550533e-12      -5.227364393602e-15 
   60       2.167679909907e-10       2.774512184207e-14      -2.516833554092e-13       0.000000000000e+00       3.766868019374e-11       4.446490779287e-12      -6.180266786575e-15 
   61       2.196778904431e-10       2.914955585976e-14      -2.936831788858e-13       0.000000000000e+00       3.627303171954e-11       4.295998805352e-12      -7.241771344414e-15 
   62       2.225700690554e-10       3.059209100224e-14      -3.374196193882e-13       0.000000000000e+00       3.494458341536e-11       4.152673250413e-12      -8.154931806402e-15 
   63       2.254807861142e-10       3.207164661255e-14      -3.829313733301e-13       0.000000000000e+00       3.367963892659e-11       4.018449305730e-12      -8.826967643620e-15 
   64       2.284571292831e-10       3.358687130703e-14      -4.302522888900e-13       0.000000000000e+00       3.247409273051e-11       3.893685053151e-12      -9.218318695898e-15 
   65       2.314718996172e-10       3.513707469064e-14      -4.793742129303e-13       0.000000000000e+00       3.132479327995e-11       3.775259331119e-12      -9.337202612551e-15 
   66       2.344875854110e-10       3.672162355276e-14      -5.302754973643e-13       0.000000000000e+00       3.022822192754e-11       3.659664809529e-12      -9.214304075227e-15 
   67       2.375216089646e-10       3.833948952175e-14      -5.829329013400e-13       0.000000000000e+00       2.918147829351e-11       3.547064223087e-12      -8.910642009285e-15 
   68       2.406009917160e-10       3.998950971595e-14      -6.373134508715e-13       0.000000000000e+00       2.818143521051e-11       3.438507841949e-12      -8.506469495454e-15 
   69       2.437243569259e-10       4.167063679742e-14      -6.933523309389e-13       0.000000000000e+00       2.722607151754e-11       3.334548993643e-12      -8.108279458462e-15 
   70       2.468814226058e-10       4.338179496409e-14      -7.509699574118e-13       0.000000000000e+00       2.631289889122e-11       3.235580497297e-12      -7.839515694293e-15 
   71       2.500627308706e-10       4.512195588214e-14      -8.100965603230e-13       0.000000000000e+00       2.543893933245e-11       3.141731477411e-12      -7.808100556073e-15 
   72       2.532683457344e-10       4.689055341782e-14      -8.707317857284e-13       0.000000000000e+00       2.460254308946e-11       3.052144516547e-12      -8.012037269333e-15 
   73       2.565007066571e-10       4.868714720716e-14      -9.328963076209e-13       0.000000000000e+00       2.380183566154e-11       2.965552206165e-12      -8.416237367870e-15 
   74       2.597622818183e-10       5.051125724433e-14      -9.966108727837e-13       0.000000000000e+00       2.303454203081e-11       2.880954976564e-12      -8.971749708201e-15 
   75       2.630563332449e-10       5.236222071302e-14      -1.061884852116e-12       0.000000000000e+00       2.229926207857e-11       2.799140544797e-12      -9.588663931752e-15 
   76       2.663862622916e-10       5.423931098885e-14      -1.128725892220e-12       0.000000000000e+00       2.159436875586e-11       2.721435410931e-12      -1.015774432653e-14 
   77       2.697539903112e-10       5.614156422119e-14      -1.197121472247e-12       0.000000000000e+00       2.091793828784e-11       2.648786055483e-12      -1.058695939031e-14 
   78       2.731555329359e-10       5.806708520358e-14      -1.266968485125e-12       0.000000000000e+00       2.026882642577e-11       2.580249456184e-12      -1.089411211630e-14 
   79       2.765846012987e-10       6.001361688346e-14      -1.338131127794e-12       0.000000000000e+00       1.964573665904e-11       2.514233509351e-12      -1.113026873676e-14 
   80       2.800360769335e-10       6.197879269787e-14      -1.410486057670e-12       0.000000000000e+00       1.904713028703e-11       2.449360191672e-12      -1.133137234516e-14 
