# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494306029961e-10       7.289055465525e-15       4.813069921391e-13       2.391725651187e-19       8.899650915393e-09       4.878506545349e-10      -2.508514717918e-12 
    3       1.408207969106e-10       1.233788833306e-14       6.052796076932e-13       4.785751976641e-19       5.431374004403e-09       3.466556784040e-10      -2.206662565569e-12 
    4       1.323538518715e-10       1.440401120426e-14       6.260868851455e-13       7.981285394213e-19       3.759177533415e-09       2.634186267705e-10      -1.760161378801e-12 
    5       1.256492239213e-10       1.332088994089e-14       5.863164362190e-13       1.198117249052e-18       2.796936566715e-09       2.087947023124e-10      -1.306443583053e-12 
    6       1.207103639716e-10       1.027926461332e-14       5.159483726898e-13       1.678878865333e-18       2.179019431629e-09       1.703536298561e-10      -8.927258087465e-13 
    7       1.172403409981e-10       6.814063320002e-15       4.353419704740e-13       2.240792692215e-18       1.753900323423e-09       1.419996445260e-10      -5.430635541789e-13 
    8       1.149189678972e-10       4.028283361763e-15       3.567464328194e-13       2.884267478598e-18       1.446439817833e-09       1.203420901632e-10      -2.681960369967e-13 
    9       1.135021677876e-10       2.330871761885e-15       2.874034557896e-13       3.609728378179e-18       1.215618898674e-09       1.033480778053e-10      -6.976882822695e-14 
   10       1.127751765863e-10       1.570650041273e-15       2.313514023895e-13       4.417603701517e-18       1.037367408155e-09       8.975839610032e-11       5.751586824162e-14 
   11       1.125983731656e-10       1.347045685954e-15       1.902852527750e-13       5.308311978576e-18       8.886952080635e-10       7.949649555951e-11       1.232397419372e-13 
   12       1.128633315179e-10       1.290833217770e-15       1.638955243793e-13       6.282249835026e-18       7.765325951819e-10       7.027397112298e-11       1.420007168471e-13 
   13       1.134501655803e-10       1.204629622868e-15       1.504377987758e-13       7.339781150295e-18       6.844604505618e-10       6.273668631984e-11       1.275711371596e-13 
   14       1.142605438699e-10       1.060400870567e-15       1.473492875642e-13       8.481227911050e-18       6.078542928000e-10       5.620008389383e-11       9.267990016771e-14 
   15       1.153003482502e-10       9.178949918094e-16       1.516133205246e-13       9.706863102777e-18       5.433726132699e-10       5.073843351438e-11       4.955493299883e-14 
   16       1.165309106627e-10       8.383957564563e-16       1.602282911428e-13       1.101690589723e-17       4.885483371825e-10       4.610960264803e-11       7.280256459177e-15 
   17       1.178693584445e-10       8.392532780283e-16       1.707099056646e-13       1.241151929826e-17       4.415180461995e-10       4.211412700280e-11      -2.781561865512e-14 
   18       1.193111493601e-10       8.954650933631e-16       1.812551744674e-13       1.389081030676e-17       4.008525705998e-10       3.858670966692e-11      -5.223499145710e-14 
   19       1.208896854350e-10       9.675943327004e-16       1.906811851669e-13       1.545483256117e-17       3.654396204638e-10       3.543683472786e-11      -6.497758246728e-14 
   20       1.225373123607e-10       1.029626969552e-15       1.984582732517e-13       1.710359130806e-17       3.344040573930e-10       3.267140062582e-11      -6.688775266515e-14 
   21       1.242334726280e-10       1.080654043915e-15       2.046664210515e-13       1.883705046066e-17       3.070475907759e-10       3.022515039319e-11      -6.029340532733e-14 
   22       1.260429614794e-10       1.138986962133e-15       2.096226745439e-13       2.065514141738e-17       2.828077382703e-10       2.802472660030e-11      -4.824209613253e-14 
   23       1.278693934315e-10       1.227349966545e-15       2.138418779930e-13       2.255777323956e-17       2.612263762349e-10       2.601329272742e-11      -3.395380051975e-14 
   24       1.297686974146e-10       1.360174289610e-15       2.178791795706e-13       2.454484373155e-17       2.419279304063e-10       2.417103096411e-11      -2.032880533271e-14 
   25       1.316840929047e-10       1.539383725307e-15       2.222474953068e-13       2.661625092902e-17       2.246014311600e-10       2.253782701222e-11      -9.363923058284e-15 
   26       1.336581671815e-10       1.758328305473e-15       2.272914394761e-13       2.877190448446e-17       2.089874510384e-10       2.108815678750e-11      -2.266471147512e-15 
   27       1.357161574377e-10       2.008970329127e-15       2.329479633120e-13       3.101173644308e-17       1.948680691265e-10       1.977066368963e-11       6.404760162815e-16 
   28       1.377130341081e-10       2.286613247013e-15       2.392350125073e-13       3.333571092764e-17       1.820589950190e-10       1.855456776047e-11      -2.099164094846e-16 
   29       1.398216823498e-10       2.590648164812e-15       2.458144376909e-13       3.574383229586e-17       1.704036219932e-10       1.745120570854e-11      -3.838856002316e-15 
   30       1.419161669377e-10       2.922294534904e-15       2.521603070353e-13       3.823615139772e-17       1.597681318904e-10       1.644700594695e-11      -9.194470862548e-15 
   31       1.440324731152e-10       3.281686085771e-15       2.579606501149e-13       4.081276963882e-17       1.500392087254e-10       1.551890068851e-11      -1.513632893578e-14 
   32       1.462679549602e-10       3.666693621974e-15       2.625456081416e-13       4.347384064773e-17       1.411175815550e-10       1.468501890063e-11      -2.020724785256e-14 
   33       1.484090468399e-10       4.073727845672e-15       2.656508837035e-13       4.621956944552e-17       1.329170154753e-10       1.391658547084e-11      -2.354884084889e-14 
   34       1.506518192733e-10       4.500493104224e-15       2.670451406501e-13       4.905020912045e-17       1.253621797898e-10       1.319980392747e-11      -2.478941375499e-14 
   35       1.529273963312e-10       4.948278627982e-15       2.663211631645e-13       5.196605511646e-17       1.183890606621e-10       1.248392838309e-11      -2.448019979656e-14 
   36       1.551426625366e-10       5.421629332984e-15       2.638080715864e-13       5.496743734517e-17       1.119405480587e-10       1.185258895249e-11      -2.231621192526e-14 
   37       1.574984892808e-10       5.926045999288e-15       2.596028184336e-13       5.805471042464e-17       1.059656225988e-10       1.129407933977e-11      -1.877597870757e-14 
   38       1.598148834871e-10       6.465729604821e-15       2.537427054807e-13       6.122824242946e-17       1.004195469959e-10       1.074563598594e-11      -1.494506050046e-14 
   39       1.621425812157e-10       7.043296950620e-15       2.465756295362e-13       6.448840260257e-17       9.526425783012e-11       1.021548704508e-11      -1.143475791362e-14 
   40       1.645696246954e-10       7.659730259958e-15       2.380130036952e-13       6.783554852763e-17       9.046407931510e-11       9.748024958755e-12      -8.336711729935e-15 
